scenario,top1_acc,top3_acc
boston5g_3p5,0.14989344059447104,0.36372247212254377
city_18_denver_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_18_denver_3p5,ok,81,71059,17563,64,2.867754507028583,0.24219310713883976,0.457366413823873,4.565874975104881,0.08011159824716171,0.17405910153381646,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_18_denver_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Expected generated movement channels with shape (N, 1, T, H, W), got (68257, 1, 8, 32)"
city_18_denver_3p5,ok,85,68257,13040,64,2.1028871575899912,0.3787596876576327,0.6305140864620826,3.3946144779766994,0.20138036815301041,0.40391104320075616,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_1_losangeles_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_1_losangeles_3p5,ok,16,44492,11099,64,3.282611634827106,0.14231772004759569,0.3216308550119593,3.9658079044014842,0.07343003877847837,0.18127759268062804,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_1_losangeles_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Expected generated movement channels with shape (N, 1, T, H, W), got (44471, 1, 8, 32)"
city_1_losangeles_3p5,ok,53,44471,5585,64,1.8112121795546987,0.4327764160377732,0.6801511096529738,2.672996354039055,0.2940017905236358,0.5251566696828673,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_2_chicago_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_2_chicago_3p5,ok,56,20536,5133,64,2.181343164990094,0.3283015193644785,0.6237339307744539,3.896261300535293,0.17085525036996135,0.33995714012047895,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_2_chicago_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Expected generated movement channels with shape (N, 1, T, H, W), got (20534, 1, 8, 32)"
city_2_chicago_3p5,ok,21,20308,2217,64,1.3121606536754031,0.5434804017886135,0.8503545401062063,1.859848234693263,0.3951285518823468,0.7329724852867797,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_3_houston_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_3_houston_3p5,ok,84,54346,13650,64,2.4476538863964894,0.3048430427470741,0.5616420711670108,4.489195161197649,0.08996336994699507,0.21963369960094983,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_3_houston_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Expected generated movement channels with shape (N, 1, T, H, W), got (54220, 1, 8, 32)"
city_3_houston_3p5,ok,10,54220,9350,64,1.8348340357594366,0.4379564736193724,0.6928992991867825,2.2839692867503447,0.34427807487268497,0.5744385026865464,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_4_phoenix_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_4_phoenix_3p5,ok,12,48946,12277,64,2.956614276685065,0.1923957013815467,0.4075511788538147,3.8685152458622194,0.09171621732816125,0.23034943396026367,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_4_phoenix_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Expected generated movement channels with shape (N, 1, T, H, W), got (48866, 1, 8, 32)"
city_4_phoenix_3p5,ok,7,48866,7679,64,1.8642284636930169,0.42878484013492096,0.6893750255338073,2.2259051796824596,0.3770022136164699,0.6128402133987105,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_5_philadelphia_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_5_philadelphia_3p5,ok,46,25793,6350,64,2.698266933856604,0.2520838987680329,0.4819524677249565,3.878589607974676,0.1370078740673741,0.3000000000469328,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_5_philadelphia_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Expected generated movement channels with shape (N, 1, T, H, W), got (25260, 1, 8, 32)"
city_5_philadelphia_3p5,ok,39,24935,1071,64,1.7484781600632027,0.4549829556572908,0.7137357128056109,2.5956383868982367,0.35294117623406185,0.5779645181114044,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_6_miami_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
